"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2022","13.5245","13.5380","13.6091","13.5123","","-0.29%"
"02/08/2022","13.5639","13.5786","13.6691","13.3944","","0.02%"
"02/07/2022","13.5611","13.5647","13.6617","13.5425","","-0.26%"
"02/07/2022","13.5971","13.5768","13.6383","13.3673","","0.21%"
"02/04/2022","13.5687","13.5582","13.6121","13.4913","","0.07%"
"02/03/2022","13.5598","13.5549","13.5996","13.4846","","-0.01%"
"02/03/2022","13.5605","13.4564","13.6264","13.2906","","0.21%"
"02/02/2022","13.5326","13.4589","13.6200","13.4316","","0.53%"
"02/02/2022","13.4612","13.3744","13.5857","13.1427","","0.06%"
"02/01/2022","13.4536","13.3579","13.5770","13.3459","","0.59%"
"02/01/2022","13.3746","13.3108","13.4710","13.1250","","0.20%"
"01/31/2022","13.3481","13.3074","13.4693","13.2619","","0.20%"
"01/31/2022","13.3209","13.5349","13.5856","13.1684","","-1.71%"
"01/28/2022","13.5532","13.6497","13.6665","13.3845","","0.08%"
"01/27/2022","13.5423","13.6250","13.6640","13.4829","","-0.79%"
"01/27/2022","13.6500","13.5774","13.6700","13.3079","","0.15%"
"01/26/2022","13.6295","13.5584","13.6689","13.5456","","0.38%"
"01/26/2022","13.5780","13.4822","13.6479","13.2669","","0.16%"
"01/25/2022","13.5561","13.4384","13.6345","13.4384","","0.55%"
"01/25/2022","13.4819","13.4505","13.5774","13.1240","","0.40%"
"01/24/2022","13.4279","13.4363","13.5725","13.4134","","-0.27%"
"01/24/2022","13.4642","13.4691","13.5654","13.1486","","0.12%"
"01/21/2022","13.4487","13.3700","13.5024","13.0490","","0.13%"
"01/20/2022","13.4317","13.3698","13.4741","13.3109","","0.57%"
"01/20/2022","13.3551","13.3721","13.5512","13.2540","","0.02%"
"01/19/2022","13.3530","13.3746","13.5470","13.2707","","-0.42%"
"01/19/2022","13.4098","13.5681","13.6595","13.3293","","0.19%"
"01/18/2022","13.3839","13.5247","13.6288","13.3468","","-1.13%"
"01/18/2022","13.5362","13.4289","13.6632","13.1569","","0.04%"
"01/17/2022","13.5303","13.4231","13.6670","13.4020","","0.64%"
"01/17/2022","13.4436","13.5418","13.6286","13.1255","","-0.61%"
"01/14/2022","13.5264","13.5906","13.6525","13.4504","","-0.04%"
"01/13/2022","13.5314","13.5595","13.6475","13.4478","","-0.47%"
"01/13/2022","13.5949","13.2511","13.7060","13.1487","","0.26%"
"01/12/2022","13.5595","13.2845","13.6713","13.1452","","2.58%"
"01/12/2022","13.2185","13.8367","13.8829","13.1700","","-0.01%"
"01/11/2022","13.2200","13.7972","13.8496","13.1363","","-4.20%"
"01/11/2022","13.7999","13.8148","13.8771","13.3727","","0.18%"
"01/10/2022","13.7755","13.7751","13.8822","13.6998","","-0.26%"
"01/10/2022","13.8116","13.8636","13.9362","13.3641","","-0.45%"
"01/07/2022","13.8745","13.8226","13.9300","13.4225","","0.04%"
"01/06/2022","13.8695","13.8183","13.9273","13.7045","","0.07%"
"01/06/2022","13.8604","13.6854","13.9233","13.2392","","0.04%"
"01/05/2022","13.8554","13.6664","13.8811","13.4988","","1.28%"
"01/05/2022","13.6806","13.4401","13.7222","13.0605","","0.38%"
"01/04/2022","13.6283","13.4066","13.6900","13.2692","","1.64%"
"01/04/2022","13.4084","13.2022","13.6675","12.8165","","-0.02%"
"01/03/2022","13.4111","13.1307","13.5919","12.9210","","2.01%"
"01/03/2022","13.1463","13.2713","13.9445","12.5485","","-1.31%"
"12/31/2021","13.3211","12.9431","13.6195","12.8020","","0.04%"
"12/30/2021","13.3161","13.1458","13.6145","13.0002","","1.31%"
"12/30/2021","13.1440","12.8265","13.6136","12.4568","","0.14%"
"12/29/2021","13.1260","12.6307","13.4162","12.4235","","3.86%"
"12/29/2021","12.6380","11.7998","12.6822","11.7521","","0.02%"
"12/28/2021","12.6359","11.7978","12.6912","11.7456","","7.04%"
"12/28/2021","11.8049","11.6873","11.9491","11.4441","","0.06%"
"12/27/2021","11.7980","11.6802","11.9420","11.5619","","0.99%"
"12/27/2021","11.6822","10.5021","11.6982","10.5021","","9.69%"
"12/24/2021","10.6500","11.0446","12.0994","10.3084","","-0.97%"
"12/23/2021","10.7547","11.3959","12.0865","10.4216","","-5.69%"
"12/23/2021","11.4040","12.3074","12.4142","10.3768","","1.26%"
"12/22/2021","11.2623","11.9896","12.1024","10.1905","","-6.34%"
"12/22/2021","12.0251","12.4737","12.7026","11.9426","","0.36%"
"12/21/2021","11.9825","12.4331","12.6994","11.9825","","-3.64%"
"12/21/2021","12.4351","13.3820","13.9995","11.4720","","0.05%"
"12/20/2021","12.4290","13.4422","14.0352","11.1147","","-7.98%"
"12/20/2021","13.5070","16.4818","18.3644","13.5040","","-17.73%"
"12/17/2021","16.4185","15.6730","17.0710","15.6200","","0.03%"
"12/16/2021","16.4135","15.6674","17.1503","15.6275","","4.74%"
"12/16/2021","15.6709","14.7969","15.7395","14.7747","","0.03%"
"12/15/2021","15.6661","14.7815","15.7262","14.7727","","5.91%"
"12/15/2021","14.7925","14.3936","14.8380","14.3588","","0.02%"
"12/14/2021","14.7901","14.3837","14.8330","14.3553","","2.78%"
"12/14/2021","14.3906","13.8139","14.4321","13.7876","","0.05%"
"12/13/2021","14.3841","13.7953","14.4328","13.7953","","4.13%"
"12/13/2021","13.8134","13.8853","14.6362","13.6582","","-0.48%"
"12/10/2021","13.8801","13.7860","13.9553","13.7027","","0.06%"
"12/09/2021","13.8719","13.7817","13.9512","13.7465","","0.62%"
"12/09/2021","13.7858","13.6786","13.8424","13.5891","","0.03%"
"12/08/2021","13.7815","13.6722","13.8383","13.5985","","0.78%"
"12/08/2021","13.6753","13.4917","13.8122","13.4407","","0.02%"
"12/07/2021","13.6720","13.4885","13.8070","13.4655","","1.31%"
"12/07/2021","13.4947","13.7972","13.8451","13.4002","","0.02%"
"12/06/2021","13.4925","13.7866","13.8425","13.4195","","-2.23%"
"12/06/2021","13.8002","13.7027","13.8956","13.5796","","0.71%"
"12/03/2021","13.7027","13.6811","13.8916","13.3007","","0.02%"
"12/02/2021","13.6999","13.6784","13.8889","13.4305","","0.11%"
"12/02/2021","13.6855","13.3341","13.8900","13.2660","","0.05%"
"12/01/2021","13.6783","13.2635","13.8190","13.2015","","3.11%"
